input_smile,is_patented,patent_cid,similar_smile_patent
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,True,2812.0,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4
Cc1cccc(N(C)C(=S)Oc2ccc3ccccc3c2)c1,True,5510.0,CC1=CC(=CC=C1)N(C)C(=S)OC2=CC3=CC=CC=C3C=C2
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,True,4189.0,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl
C=CCCCCCCCCC(=O)O,True,5634.0,C=CCCCCCCCCC(=O)O
CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12,True,2484.0,CC(C)(C)C1=CC=C(C=C1)CN(C)CC2=CC=CC3=CC=CC=C32
CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,True,1549008.0,CC(C)(C)C#CC=CCN(C)CC1=CC=CC2=CC=CC=C21
CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O,True,468595.0,CCC(C(C)O)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5CC(OC5)(CN6C=NC=N6)C7=C(C=C(C=C7)F)F
Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1,True,47471.0,C1=CC(=C(C(=C1)Cl)SC(CCC2=CC=C(C=C2)Cl)CN3C=CN=C3)Cl.[N+](=O)(O)[O-]
OB1OCc2cc(F)ccc21,True,11499245.0,B1(C2=C(CO1)C=C(C=C2)F)O
Cc1cc(C2CCCCC2)n(O)c(=O)c1,True,2749.0,CC1=CC(=O)N(C(=C1)C2CCCCC2)O
