input_smile,is_patented,patent_cid,similar_smile_patent
c1ccc(C(c2ccccc2)(c2ccccc2)n2ccnc2)cc1,True,2378.0,C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=CC=C3)N4C=CN=C4
S=C(Nc1ccccc1)Oc1ccc2ccccc2c1,True,88519939.0,C1=CC=C(C=C1)NC(=S)OC2=CC3=CC=CC=C3C=C2
c1ccc(COC(Cn2ccnc2)c2ccccc2)cc1,True,57307492.0,CCC(C1=CC=CC=C1)OC(C)(CCC2=CC=C(C=C2)F)CN3C=CN=C3
,False,,
c1ccc(CNCc2cccc3ccccc23)cc1,True,10360469.0,C1=CC=C2C(=C1)C=C3C=CC=CC3=C2CNCCCCNCCCCN
c1ccc2ccccc2c1,True,931.0,C1=CC=C2C=CC=CC2=C1
O=c1[nH]ncn1-c1ccc(N2CCN(c3ccc(OC[C@@H]4CO[C@@](Cn5cncn5)(c5ccccc5)C4)cc3)CC2)cc1,True,181442.0,CCC(CC)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5CC(OC5)(CN6C=NC=N6)C7=C(C=C(C=C7)F)F
c1ccc(CCC(Cn2ccnc2)Sc2ccccc2)cc1,True,20365285.0,C1=CC=C(C=C1)C(CCCCCCCCN2C=CN=C2)SC3=CC=C(C=C3)F
B1OCc2ccccc21,True,403788.0,B1(C2=CC=CC=C2CO1)O
O=c1cccc(C2CCCCC2)[nH]1,True,20158085.0,C1CCC(CC1)C2=CC=CC(=O)N2
c1ccc(-c2ccc(CC(Cn3cnnn3)c3ccccc3)nc2)cc1,True,140229007.0,C1=CC(=CC=C1C2=CN=C(C=C2)C(C(CN3C=NN=N3)C4=C(C=C(C=C4)F)F)(F)F)F
c1ccc(CO/N=C(\Cn2ccnc2)c2ccccc2)cc1,False,,
C1=C2[C@H](CC[C@H]3C4COC[C@@]23C[C@@H](n2ncnc2-c2ccncc2)C4)C2CCCCC2C1,False,,
O=C(N[C@H]1CCCNC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](CCc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)CNC1=O)c1ccc(-c2cc(-c3ccccc3)on2)cc1,False,,
,False,,
C=C1CCN(CC(Cn2cncn2)c2ccccc2)CC1,True,18928676.0,C1CN(CCC1CCCC2=CC=CC=C2)CCN3C=NC=N3
C(=Cc1ccccc1)CNCc1cccc2ccccc12,True,10360469.0,C1=CC=C2C(=C1)C=C3C=CC=CC3=C2CNCCCCNCCCCN
c1ccc([C@]2(Cn3cncn3)OC[C@@H](COc3ccc(N4CCNCC4)cc3)O2)cc1,True,14053463.0,C1CN(CCN1C#N)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=NC=N4)C5=CC=C(C=C5)F
c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,True,2378.0,C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=CC=C3)N4C=CN=C4
