input_smile,is_patented,patent_cid,similar_smile_patent
,False,,
c1ccc(C(Cn2ccnc2)c2ccccc2)cc1,True,10682926.0,C1=CC=C(C=C1)C(CCN2C=CN=C2)C3=CC=CC=C3
c1ccc(C2(Cn3ccnc3)OCCO2)cc1,True,22615266.0,CCC1COC(O1)(CN2C=CN=C2)C3=C(C=C(C=C3)F)F
c1ccc(C2(Cn3ccnc3)OCCO2)cc1,True,22615266.0,CCC1COC(O1)(CN2C=CN=C2)C3=C(C=C(C=C3)F)F
c1ccc(C2(Cn3ccnc3)OCCO2)cc1,True,22615266.0,CCC1COC(O1)(CN2C=CN=C2)C3=C(C=C(C=C3)F)F
c1ccc(C2(Cn3ccnc3)OCCO2)cc1,True,22615266.0,CCC1COC(O1)(CN2C=CN=C2)C3=C(C=C(C=C3)F)F
C=C(c1ccccc1OCc1ccccc1)n1ccnc1,True,46889432.0,C1=CC=C(C=C1)OC2=CC=CC=C2CN3C=CN=C3
,False,,
,False,,
,False,,
c1ccccc1,True,241.0,C1=CC=CC=C1
c1ccc(-c2ccccc2)cc1,True,7095.0,C1=CC=C(C=C1)C2=CC=CC=C2
c1ccccc1,True,241.0,C1=CC=CC=C1
c1ccccc1,True,241.0,C1=CC=CC=C1
c1ccccc1,True,241.0,C1=CC=CC=C1
c1ccccc1,True,241.0,C1=CC=CC=C1
c1ccc(C2(Cn3ccnc3)OCC(COc3ccc(N4CCNCC4)cc3)O2)cc1,True,142007734.0,C1CN(CCN1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)F)F
c1ccc(C2(Cn3ccnc3)OCC(COc3ccc(N4CCNCC4)cc3)O2)cc1,True,142007734.0,C1CN(CCN1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)F)F
c1ccc(C2(Cn3ccnc3)OCC(COc3ccc(N4CCNCC4)cc3)O2)cc1,True,142007734.0,C1CN(CCN1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)F)F
C1=NC2C(CCC2OC2COCC(OC3CCCCO3)C2)O1,False,,
C1=NC2CC(OC3CCC(OC4CCCCO4)CO3)CC2O1,False,,
c1ccccc1,True,241.0,C1=CC=CC=C1
,False,,
O=C(Cc1ccc(-c2ccccc2)cc1)NCC(Cn1ccnc1)c1ccccc1,True,74316232.0,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)NCCCN3C=CN=C3
O=C(CCCc1ccccn1)NCC1CCC(n2ccc(=O)[nH]c2=O)O1,False,,
c1ccc(CCn2cncn2)cc1,True,22458.0,C1=CC=C(C=C1)CN2C=NC=N2
c1ccc(CCn2cncn2)cc1,True,22458.0,C1=CC=C(C=C1)CN2C=NC=N2
c1ccc(OCCn2ccnc2)cc1,True,13569172.0,C1=CC=C(C=C1)OCCN2C=CN=C2
c1ccc(OCn2ccnc2)cc1,True,117189877.0,CCN1C=CN=C1OC2=CC=C(C=C2)F
