input_smile,is_patented,patent_cid,similar_smile_patent
CC(C)CCCC(C)C1CCC2C(=O)CC3C4CCC(O)CC4(O)C(C)CC3C21C,True,5284271.0,CC(C)CCCC(C)C1CCC2C1(C(CC3C2C(CC4C3(CCC(=O)C4)C)O)O)C
O=C(CCl)c1cc([N+](=O)[O-])co1,False,,
CN(CCC(N)CC(=O)NC1COC(C(=O)O)C=C1n1ccc(N)nc1=O)C(=N)N,False,,
CCC(C)C(=O)OC12CCC=CC1C=CC(C)C2CCC1CC(=O)CC(O)O1,False,,
O=[N+]([O-])c1ccc(-c2c[nH]c(Cl)c2)cc1Cl,True,11436010.0,C1=CC(=C(C(=C1)Cl)[N+](=O)[O-])C2=CNC=C2
OC(Cn1cnnn1)(c1cccc(F)c1F)C(F)(F)c1ncccc1-c1ccc(OC(F)(F)F)cc1,True,77050711.0,C1=CC(=CC=C1C2=CN=C(C=C2)C(C(CN3C=NN=N3)(C4=C(C=C(C=C4)F)F)O)(F)F)OCC(F)(F)F
Clc1ccc(C(Cn2ccnc2)OCc2cccc(Sc3ccccc3)c2)cc1Cl,False,,
CN(CCC(N)CC(=O)NC1COCC(C(=O)O)=C1n1ccc(N)nc1=O)C(=N)N,False,,
CC(C(O)(Cn1cncn1)c1c(F)cccc1F)S(C)(=O)=O,True,452261.0,CC(C(CN1C=NC=N1)(C2=C(C=C(C=C2)F)F)O)S(=O)(=O)C
CN(CCC(N)CC(=O)NC1COCC(C(=O)O)=C1n1cc(N)cnc1=O)C(=N)N,False,,
OCC(O)COc1cccc(Cl)c1,True,7697.0,C1=CC(=CC=C1OCC(CO)O)Cl
CCC1C=CC=CCC(C)C(O)CC(=O)C(C)C(O)C(C)C(=O)C(C)C(O)C(C)C=CC(=O)OCCCCC1,False,,
C=CCc1c(O)cccc1OC,True,238769.0,CC1=C(C=C(C=C1O)OC)O
C=CCc1cccc(OC)c1O,True,3314.0,COC1=C(C=CC(=C1)CC=C)O
CC(C)=CCC1=C2OC2(C(=O)CCCCN)C(=O)C(O)C1=O,False,,
O=C(CCl)c1ccccc1O,True,12408428.0,C1=CC=C(C(=C1)C(=O)CCl)O
C=CCc1ccc(O)cc1OC,True,5281296.0,COC1=C(C=CC(=C1)O)CC=CC2=CC=C(C=C2)O
O=C(CCl)c1occc1[N+](=O)[O-],False,,
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)c(Cl)c2)cc1Cl,True,20365332.0,C1=CC=C(C=C1)CCC(CN2C=CN=C2)OCC3=CC(=C(C=C3)Cl)Cl
CC1(C)C=Cc2c(cc(O)c3c2OC(O)C(=O)C3c2ccccc2)O1,False,,
COC1=CC(C)=CC(C)C(O)CCC(C(C)C(O)C(C)C2(O)CC(C(C)C)C(O)C(C)O2)=CC=C(C)C(O)C(C)OC1=O,True,129396804.0,CC1CC(=CC=CC(C(OC(=O)C(=CC(=CC(C1O)C)C)OC)C(C)C(C(C)C2(CC(C(C(O2)C(C)C)C)OC(=O)C=CC(=O)O)O)O)OC)C
Clc1ccc(OCCCN2CCOCC2)cc1-c1ccccc1,False,,
C=CCc1cc(O)ccc1OC,True,8456.0,CC(C)(C)C1=C(C=CC(=C1)OC)O
CC(=O)Nc1cc(O)ccc1[As](=O)(O)O,True,12124.0,CC(=O)NC1=CC(=CC=C1)O
CSCC1OCN(N=Cc2cc([N+](=O)[O-])co2)C1=O,False,,
CC(C)=CCC1=C(C(=O)CCCCN)C(O)(C(C)C)C(=O)C(O)C1=O,False,,
CCC(C)C(=O)OC1CCC=C2C=C(CCC3CC(O)CC(=O)O3)C(C)CC21,True,53232.0,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C
OC(Cn1cnnn1)(c1c(F)cccc1F)C(F)(F)c1cc(-c2ccccc2OC(F)(F)F)ccn1,True,91886002.0,C1=CC(=CC=C1C2=CN=C(C=C2)C(C(CN3C=NN=N3)(C4=C(C=C(C=C4)F)F)O)(F)F)OC(F)(F)F
Nc1cc(F)nc(=O)[nH]1,False,,
OCC(O)COc1ccccc1Cl,True,84933.0,C1=CC=C(C(=C1)OCCO)Cl
CN(CCC(N)CC(=O)NC1C=CC(N2C(C(=O)O)=CC=NC2N)OC1C(=O)O)C(=N)N,False,,
CC(C)=CCC1=C2OC2(O)C(C(C)C)C(=O)C1=O,False,,
NC(C(=O)O)C1ON=CC1Cl,False,,
O=C(COC1=C(C(F)(F)F)C=NC(C(F)(F)F)C1)NNc1ccc(F)cc1F,False,,
B,True,6331.0,B
O=C(Nc1nc(Cc2cccc3ccccc23)cs1)C1CCCCC1,True,142892857.0,CCC1CC=C(C=C1)C2=CSC(=N2)NC(=O)CC3=CC4=CC=CC=C4C=C3
