input_smile,is_patented,patent_cid,similar_smile_patent
O=C1CC2C3CCCCC3CCC2C2CCCC12,True,45052383.0,C1CC2CCC3CCCC4C3C2C(C1)C4=O
c1ccoc1,True,8029.0,C1=COC=C1
O=c1ncccn1C1=CCOCC1,False,,
O=C1CCOC(CCC2CC=CC3C=CCCC32)C1,False,,
c1ccc(-c2cc[nH]c2)cc1,True,72898.0,C1=CC=C(C=C1)C2=CC=CN2
c1ccc(-c2cccnc2CC(Cn2cnnn2)c2ccccc2)cc1,True,140229007.0,C1=CC(=CC=C1C2=CN=C(C=C2)C(C(CN3C=NN=N3)C4=C(C=C(C=C4)F)F)(F)F)F
c1ccc(Sc2cccc(COC(Cn3ccnc3)c3ccccc3)c2)cc1,False,,
O=c1ncccn1C1=CCOCC1,False,,
c1ccc(CCn2cncn2)cc1,True,22458.0,C1=CC=C(C=C1)CN2C=NC=N2
O=c1ncccn1C1=CCOCC1,False,,
c1ccccc1,True,241.0,C1=CC=CC=C1
O=C1CCCC=CC(=O)OCCCCCCC=CC=CCCCCC(=O)CCC1,False,,
c1ccccc1,True,241.0,C1=CC=CC=C1
c1ccccc1,True,241.0,C1=CC=CC=C1
O=C1C=C2OC2C(=O)C1,False,,
c1ccccc1,True,241.0,C1=CC=CC=C1
c1ccccc1,True,241.0,C1=CC=CC=C1
c1ccoc1,True,8029.0,C1=COC=C1
c1ccc(COC(Cn2ccnc2)c2ccccc2)cc1,True,57307492.0,CCC(C1=CC=CC=C1)OC(C)(CCC2=CC=C(C=C2)F)CN3C=CN=C3
O=C1COc2c(ccc3c2C=CCO3)C1c1ccccc1,True,11174468.0,COC1=CC(=C(C(=C1)OC)C2C(=O)COC3=CC=CC=C23)OC
O=C1C=CC=CCCCCC(CCCC2CCCCO2)=CC=CCCO1,True,69803837.0,C=C1C=CC(=O)OCCC=CCCCCCCC2CC=CC1O2
c1ccc(-c2cccc(OCCCN3CCOCC3)c2)cc1,True,58483782.0,C1CCN(CC1)CCOC2=CC=CC(=C2)C3=CC=CC=C3
c1ccccc1,True,241.0,C1=CC=CC=C1
c1ccccc1,True,241.0,C1=CC=CC=C1
O=C1COCN1N=Cc1ccco1,False,,
O=C1C=CCC(=O)C1,True,18414852.0,C1C=CC(=O)CC1=O
O=C1CCCC(CCC2=CC3=CCCCC3CC2)O1,False,,
c1ccc(-c2ccnc(CC(Cn3cnnn3)c3ccccc3)c2)cc1,True,173566632.0,CC(C1=NC=C(C=C1)C2=CC=C(C=C2)F)(C(CN3C=NN=N3)C4=C(C=C(C=C4)F)F)F
O=c1nccc[nH]1,True,68401.0,C1=CNC(=O)N=C1
c1ccccc1,True,241.0,C1=CC=CC=C1
C1=CN(C2C=CCCO2)CN=C1,False,,
O=C1C=C2OC2CC1=O,False,,
C1=NOCC1,True,12304501.0,C1CON=C1
O=C(COC1=CC=NCC1)NNc1ccccc1,False,,
,False,,
O=C(Nc1nc(Cc2cccc3ccccc23)cs1)C1CCCCC1,True,142892857.0,CCC1CC=C(C=C1)C2=CSC(=N2)NC(=O)CC3=CC4=CC=CC=C4C=C3
