input_smile,is_patented,patent_cid,similar_smile_patent
B,True,6331.0,B
Brc1ccc(C(Cn2ccnc2)c2ccccc2)cc1,True,3006845.0,CCCCC(CN1C=CN=C1)C2=CC=C(C=C2)Br
C#CCOCC1COC(Cn2ccnc2)(c2c(Cl)cccc2Cl)O1,True,3047814.0,C#CCOCC1COC(O1)(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl
C#CCOCC1COC(Cn2ccnc2)(c2cc(Cl)cc(Cl)c2)O1,True,3047814.0,C#CCOCC1COC(O1)(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl
C#CCOCC1COC(Cn2ccnc2)(c2ccc(Cl)cc2Cl)O1,True,3047814.0,C#CCOCC1COC(O1)(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl
C#CCOCC1COC(Cn2ccnc2)(c2cccc(Cl)c2Cl)O1,False,,
C=C(c1ccccc1OCc1cccc(Cl)c1)n1ccnc1,True,2880.0,C=C(C1=CC=CC=C1OCC2=CC(=CC=C2)Cl)N3C=CN=C3
C=CCCCCCCCCC(=O)O,True,5634.0,C=CCCCCCCCCC(=O)O
C=CCSSC=CCS(=O)CC=C,True,5386591.0,C=CCSSC=CCS(=O)CC=C
C=CCSSSCC=C,True,16590.0,C=CCSSCC=C
C=CCc1c(O)cccc1OC,True,238769.0,CC1=C(C=C(C=C1O)OC)O
C=CCc1cc(Br)c(O)c(-c2cc(CC=C)cc(Br)c2O)c1,True,12611577.0,CC1=CC(=CC(=C1O)Br)C(C)(C)C2=CC(=C(C(=C2)C)O)Br
C=CCc1cc(O)ccc1OC,True,8456.0,CC(C)(C)C1=C(C=CC(=C1)OC)O
C=CCc1ccc(O)c(OC)c1,True,3314.0,COC1=C(C=CC(=C1)CC=C)O
C=CCc1ccc(O)cc1OC,True,5281296.0,COC1=C(C=CC(=C1)O)CC=CC2=CC=C(C=C2)O
C=CCc1cccc(OC)c1O,True,3314.0,COC1=C(C=CC(=C1)CC=C)O
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)c(Cl)c4)O3)cc2)CC1,True,47576.0,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,True,47576.0,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4cccc(Cl)c4Cl)O3)cc2)CC1,True,47576.0,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl
CC(=O)NC1C(O)OC(OC2C(CO)OC(O)C(OC3CCC4(O)OC(N(C)C)=NC34CO)C2NC(C)=O)C(O)C1CO,False,,
CC(=O)NC1C(OC2C(CO)OC(OC3C(O)C4N=C(N(C)C)OC4C3CO)C(NC(C)=O)C2O)OC(CO)C(O)C1O,True,119339.0,CC(=O)NC1C(C(C(OC1OC2C(OC(C(C2O)NC(=O)C)OC3C(C4C(C3O)N=C(O4)N(C)C)CO)CO)CO)O)O
CC(=O)Nc1cc(O)ccc1[As](=O)(O)O,True,12124.0,CC(=O)NC1=CC(=CC=C1)O
CC(=O)OCC(COC(C)=O)OC(C)=O,True,5541.0,CC(=O)OCC(COC(=O)C)OC(=O)C
CC(C(=O)N(C)CC(O)(Cn1ccnc1)c1ccc(Cl)cc1)c1ccc(-c2ccccc2)c(F)c1,True,165178976.0,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)N(C)CC(CN3C=CN=C3)(C4=CC=C(C=C4)Cl)O
CC(C(N)C(=O)NC(C(=O)O)C1OC(n2ccc(=O)[nH]c2=O)C(O)C1O)C(O)c1ccc(O)cn1,True,456557.0,CC(C(C1=NC=C(C=C1)O)O)C(C(=O)NC(C2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)C(=O)O)N
CC(C(O)(Cn1cncn1)c1c(F)cccc1F)S(C)(=O)=O,True,452261.0,CC(C(CN1C=NC=N1)(C2=C(C=C(C=C2)F)F)O)S(=O)(=O)C
CC(C(O)(Cn1cncn1)c1ccc(F)cc1F)S(C)(=O)=O,True,452261.0,CC(C(CN1C=NC=N1)(C2=C(C=C(C=C2)F)F)O)S(=O)(=O)C
CC(C)(C)C(=O)C(Cn1ccnc1)Oc1ccc(Cl)cc1Cl,True,3016731.0,CC(C)(C)C(=O)C(CN1C=CN=C1)OC2=C(C=C(C=C2)Cl)Cl
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1,True,37907.0,CC(C)(C)C(=O)C(N1C=CN=C1)OC2=CC=C(C=C2)Cl
CC(C)(C)C(=O)C(Oc1cccc(Cl)c1)n1ccnc1,True,37907.0,CC(C)(C)C(=O)C(N1C=CN=C1)OC2=CC=C(C=C2)Cl
CC(C)(O)C(Cl)(Cl)Cl,True,5977.0,CC(C)(C(Cl)(Cl)Cl)O
CC(C)=CCC1=C(C(=O)CCCCN)C(O)(C(C)C)C(=O)C(O)C1=O,False,,
CC(C)=CCC1=C(O)C(=O)c2ccccc2C1=O,True,135441721.0,C1=CC=C2C(=C1)C(=O)C(=C(C2=O)O)O
CC(C)=CCC1=C(O)c2ccccc2C(=O)C1=O,True,6755.0,C1=CC=C2C(=C1)C(=CC(=O)C2=O)O
CC(C)=CCC1=C2OC2(C(=O)CCCCN)C(=O)C(O)C1=O,False,,
CC(C)=CCC1=C2OC2(O)C(C(C)C)C(=O)C1=O,False,,
CC(C)C(C)C=CC(C)C1CCC2C3=CC=C4CC(O)CCC4(C)C3CCC21C,True,5280794.0,CCC(C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C
CC(C)CC1CNCCCCNCCNCCNCCNCCNCCNCCCC(=O)NC(Cc2ccc(O)cc2)C(=O)NC(CC(=O)O)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(CO)C(=O)NC(CC(=O)O)C(=O)N1,True,10055958.0,CC(C)C(C(=O)NC(C(C)C)C(=O)NCC(=O)N)NC(=O)C(CC(=O)O)NC(=O)C(CC1=CC=CC=C1)NC(=O)C(C)NC(=O)C(CC2=CC=C(C=C2)O)N
CC(C)CCCC(C)C1CCC2C(=O)CC3C4CCC(O)CC4(O)C(C)CC3C21C,True,5284271.0,CC(C)CCCC(C)C1CCC2C1(C(CC3C2C(CC4C3(CCC(=O)C4)C)O)O)C
CC(C)CCCCCCCCC1NC(=O)C(=O)NC(=O)C(=O)NCCNCCNCC(CC(N)=O)NC(=O)C(=O)NC(CC(N)=O)C(CC(N)=O)NC(Cc2ccc(O)cc2)C1CC(N)=O,True,16095112.0,CC1C(NC(=O)C(NC(=O)C(NC(=O)C(NC1=O)C(C)C)C)CC2=CC=C(C=C2)O)CC=CCCC(=O)N
CC(C)CSSc1ncccn1,True,12278997.0,CC(C)SSC1=NC=CC=N1
CC(C)N1CCN(c2ccc(OCC3COC(Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,True,441383.0,CC(C)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=NC=N4)C5=C(C=C(C=C5)Cl)Cl
CC1(C)C=Cc2c(cc(O)c3c2OC(O)C(=O)C3c2ccccc2)O1,False,,
CC1(C)C=Cc2c(cc(O)c3c2OC(c2ccccc2)C(O)C3=O)O1,True,5280441.0,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4C(C(C(C(O4)CO)O)O)O)O
CC1C=CC=CC=CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC(O)C(C(=O)O)C(O)CC(=O)CC(O)CC(O)CC(O)CC(=O)CCCC(=O)CC(=O)OC1,True,6440843.0,CCCC1CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CCCC(=O)CC(C(C(=O)O1)CC)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O
CC1C=CC=CCCC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CCOC(O)CC(O)C(O)CCC(O)CC(O)CC(O)CC(=O)OC(C)C(C)C1O,True,5280965.0,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O
