input_smile,is_patented,patent_cid,similar_smile_patent
O=C1CC2C3CCCCC3CCC2C2CCCC12,True,45052383.0,C1CC2CCC3CCCC4C3C2C(C1)C4=O
c1ccoc1,True,8029.0,C1=COC=C1
O=c1ncccn1C1=CCOCC1,False,,
O=C1CCOC(CCC2CC=CC3C=CCCC32)C1,False,,
c1ccc(-c2cc[nH]c2)cc1,True,72898.0,C1=CC=C(C=C1)C2=CC=CN2
c1ccc(-c2cccnc2CC(Cn2cnnn2)c2ccccc2)cc1,True,140229007.0,C1=CC(=CC=C1C2=CN=C(C=C2)C(C(CN3C=NN=N3)C4=C(C=C(C=C4)F)F)(F)F)F
c1ccc(Sc2cccc(COC(Cn3ccnc3)c3ccccc3)c2)cc1,False,,
O=c1ncccn1C1=CCOCC1,False,,
c1ccc(CCn2cncn2)cc1,True,22458.0,C1=CC=C(C=C1)CN2C=NC=N2
O=c1ncccn1C1=CCOCC1,False,,
